"fundCode","fundName"
"20402050",NA
"20402350",NA
"20402550",NA
"20418500",NA
"20419000",NA
"20419500",NA
"71135000",NA
"71159000",NA
"71675000",NA
"71688000",NA
"72119000",NA
"72137000",NA
"72219000",NA
"72323000",NA
"72328000",NA
"72365000",NA
"72417000",NA
"72418000",NA
"72435000",NA
"72514000",NA
"72538000",NA
"72572000",NA
"72600500",NA
"72662000",NA
"72681000",NA
"72692000",NA
"72713000",NA
"72787000",NA
"72869000",NA
"72873000",NA
"72926000",NA
"72936000",NA
"72978000",NA
"75002000",NA
"75058000",NA
"75088000",NA
"75127000",NA
"7516000","Sam A. Idelson Scholarship Fund"
"7518300","Jim and Natalie Childs Georgia Commitment Scholarship Fund I"
"7519400","Gail and William Oliver (Dr. Pat) Hunnicutt III Scholarship Fund (1)"
"7519400","Gail and William Oliver (Dr. Pat) Hunnicutt III Scholarship Fund (2)"
"7519400","Gail and William Oliver (Dr. Pat) Hunnicutt III Scholarship Fund (3)"
"7519900","Garry and Sandra Bridgeman Scholarship Fund"
"7520600","James E. Stewart Jr. Scholarship Endowment"
"7521600","RMW Family Scholarship Fund"
"7521800","Ernesto and Jamie Perez Scholarship Fund"
"7522600","Georgia Power Foundation Scholarship Fund"
"7522700","Scott and Meredith Selvey Family Scholarship Fund"
"7522800","Simmons Family Scholarship Fund"
"7522900","Bone Dry Roofing Company Scholarship Fund"
"7523100","June Wilhoit Martin Scholarship Fund"
"7523200","Fitzgerald Family Scholarship Fund"
"7523300","Wyck Knox Scholarship Fund"
"7523400","Bill and Marihope Flatt Scholarship Fund I"
"7523500","Silcox Family Scholarship Fund"
"7523600","Wicker-Croft Family Scholarship Fund"
"7523900","Paul Talmadge Martin Scholarship Fund"
"7524000","President’s Venture Fund Commit to Georgia Scholarship"
"7524100","Waterfall Foundation Scholarship Fund"
"7524200","Darby Family/Victory Real Estate Scholarship Fund I"
"7524300","Darby Family/Victory Real Estate Scholarship Fund II"
"7524400","Peter and Wendy Corry Scholarship Fund I"
"7524500","Parents Leadership Council Commit to Georgia Scholarship Fund"
"7524600","Stamper Family Scholarship Fund"
"7524700","Bill and Marihope Flatt Scholarship Fund II"
"7524800","Young Family Scholarship Fund"
"7524900","Wade H. Stribling Scholarship Fund"
"7525000","Rosenthal Family Scholarship Fund"
"7525100","Mr. and Mrs. Samuel D. Holmes, Sr. Scholarship Fund"
"7525200","John and Elizabeth Crawford Scholarship Fund"
"7525300","Kay and John Parker Scholarship Fund I"
"7525400","Kay and John Parker Scholarship Fund II"
"7525500","Lillie S. Axelrod Scholarship Fund"
"7525800","Dee and Molly Yancey Family Scholarship Fund I"
"7525900","Dee and Molly Yancey Family Scholarship Fund II"
"7526000","John and Cindy Morris Scholarship Fund I"
"7526100","John and Cindy Morris Scholarship Fund II"
"7526600","Angela and Arthur M. Blank Scholarship Fund I"
"7526700","Angela and Arthur M. Blank Scholarship Fund II"
"7526800","Angela and Arthur M. Blank Scholarship Fund III"
"7526900","Angela and Arthur M. Blank Scholarship Fund IV"
"7527000","Angela and Arthur M. Blank Scholarship Fund V"
"7527100","Howard E. Ivester Scholarship Fund I"
"75271000",NA
"7527200","Howard E. Ivester Scholarship Fund II"
"7527300","Douglas Scholarship Fund I"
"7527400","Douglas Scholarship Fund II"
"7527600","Paris Family Scholarship Fund"
"7527700","Shelton Family Scholarship Fund"
"7527900","Flanagan Family Foundation Scholarship Fund"
"7528000","John and Marilyn McMullan Scholarship Fund"
"7528200","Gregory F. Holcomb and Jennifer F. Holcomb Scholarship Fund"
"75282000",NA
"7528300","Weisiger Family Need-Based Scholarship Fund"
"7528700","Ada Lee Correll Scholarship Fund"
"7528800","The Cousins Scholars Program Scholarship Fund 1"
"7528800","The Cousins Scholars Program Scholarship Fund 2"
"7528800","The Cousins Scholars Program Scholarship Fund 3"
"7528800","The Cousins Scholars Program Scholarship Fund 4"
"7528800","The Cousins Scholars Program Scholarship Fund 5"
"7528800","The Cousins Scholars Program Scholarship Fund 6"
"7528800","The Cousins Scholars Program Scholarship Fund 7"
"7528800","The Cousins Scholars Program Scholarship Fund 8"
"7528800","The Cousins Scholars Program Scholarship Fund 9"
"7528800","The Cousins Scholars Program Scholarship Fund 10"
"7528800","The Cousins Scholars Program Scholarship Fund 11"
"7528800","The Cousins Scholars Program Scholarship Fund 12"
"7528800","The Cousins Scholars Program Scholarship Fund 13"
"7528800","The Cousins Scholars Program Scholarship Fund 14"
"7528800","The Cousins Scholars Program Scholarship Fund 15"
"7528800","The Cousins Scholars Program Scholarship Fund 16"
"7528800","The Cousins Scholars Program Scholarship Fund 17"
"7528800","The Cousins Scholars Program Scholarship Fund 18"
"7528800","The Cousins Scholars Program Scholarship Fund 19"
"7528800","The Cousins Scholars Program Scholarship Fund 20"
"7528800","The Cousins Scholars Program Scholarship Fund 21"
"7528800","The Cousins Scholars Program Scholarship Fund 22"
"7528800","The Cousins Scholars Program Scholarship Fund 23"
"7528800","The Cousins Scholars Program Scholarship Fund 24"
"7528900","Rado Scholarship Fund"
"7529100","Equifax Scholarship Fund"
"7529300","Eberhardt Family Legacy Scholarship Fund"
"7529800","Rachel Cosby Conway Scholarship Fund"
"7529900","Mike and Jayne Godwin Scholarship Fund"
"75299000",NA
"7530000","Mickey A. and Carolyn F. Brown Endowed Scholarship Fund"
"7530300","Todd and Darlene Shutley Scholarship Fund"
"75303000",NA
"7530900","GCS SR17 Fund I (ANONYMOUS)"
"7531000","Scott and Heather Kleiner Scholarship Fund"
"7532300","John and Mildred Spalding Scholarship Fund"
"7532400","Allison L. McDaniel Scholarship Fund"
"7532700","Sartain Lanier Family Foundation Scholarship Fund I"
"7532800","Sartain Lanier Family Foundation Scholarship Fund II"
"7532900","Sartain Lanier Family Foundation Scholarship Fund III"
"7533100","Sartain Lanier Family Foundation Scholarship Fund IV"
"7533300","Sartain Lanier Family Foundation Scholarship Fund V"
"7533600","Phil Meeks Scholarship Fund"
"7533800","Ken and Jody Jackson Commit to Georgia Scholarship Fund"
"7533900","Ellen and Duncan Beard Scholarship Fund"
"7534000","Thomas R. Dye and Frank K. Gibson Scholarship Fund"
"7534100","W. Craig Barrs Leadership Scholarship Fund"
"7534200","Cohen Family Scholarship Fund"
"7534300","Gloria Peters Monsees/John Aloyius Peters, Jr. Georgia Commitment Scholarship Fund I"
"7534400","Gloria Peters Monsees/John Aloyius Peters, Jr. Georgia Commitment Scholarship Fund II"
"7534500","Marvin and June Cawthon Commitment Scholarship Fund"
"7534600","Beth and Barry Storey Family Scholarship Fund"
"7534800","Kirby Smart Family Foundation Scholarship Fund"
"7534900","Fred B. Kitchens, Jr. / Wine and Spirits Wholesalers of Georgia Scholarship Fund"
"7535100","Thomas L. Hamby Scholarship Fund"
"7535500","Chuck and Ruba Farah Family Scholarship Fund"
"7535600","Karen and Richard Parker Scholarship Fund"
"7535700","Robert E. Mason Family Scholarship Fund"
"7535800","Robert E. Mason Scholarship Fund"
"7536000","Katherine T. Mason Scholarship Fund"
"7536200","Ann M. Mason Scholarship Fund"
"7536500","Freishtat Family Foundation Scholarship Fund"
"7536800","Mark and Allison Gray Family Scholarship Fund"
"7536900","Frank and Libba Foley Scholarship Fund"
"7537600","Michael J. Bryan Bulldog 100 Scholarship Fund"
"7537800","GAA Georgia Commitment Scholarship Fund I"
"7537900","GAA Georgia Commitment Scholarship Fund II"
"7538000","GAA Georgia Commitment Scholarship Fund III"
"7538900","GAA Georgia Commitment Scholarship Fund IV"
"75390000",NA
"7539400","GAA Georgia Commitment Scholarship Fund V"
"7539800","GAA Georgia Commitment Scholarship Fund VI"
"7539900","GAA Georgia Commitment Scholarship Fund VII"
"7540000","GCS SR17 Fund II (ANONYMOUS)"
"7540100","GCS SR17 Fund III (ANONYMOUS)"
"7540200","GCS SR17 Fund IV (ANONYMOUS)"
"75402000",NA
"75404000",NA
"7540500","GCS SR17 Fund V (ANONYMOUS)"
"7540600","Porter and Magner Lummus Scholarship Fund"
"7540700","GAA Georgia Commitment Scholarship Fund VIII"
"7540800","GAA Georgia Commitment Scholarship Fund IX"
"7540900","GAA Georgia Commitment Scholarship Fund X"
"7541000","Jim and Natalie Childs Georgia Commitment Scholarship Fund II"
"75410000",NA
"7541100","Jim and Natalie Childs Georgia Commitment Scholarship Fund III"
"7541200","Jim and Natalie Childs Georgia Commitment Scholarship Fund IV"
"7541300","Jim and Natalie Childs Georgia Commitment Scholarship Fund V"
"7541400","Jim and Natalie Childs Georgia Commitment Scholarship Fund VI"
"7541600","Jim and Natalie Childs Georgia Commitment Scholarship Fund VII"
"7541700","Connally Family Scholarship Fund"
"7541900","Home Depot Alumni Corporate Chapter Scholarship Fund"
"75421000",NA
"7542200","Tabor-Pearson Scholarship Fund"
"7542400","Women of UGA Scholarship Endowment"
"7542600","Stephens Family Scholarship Fund"
"7542800","Michael F. Adams - William Bonneau Ansley Jr.  Georgia Commitment Scholarship Fund"
"7543000","Mary Alice T. and J. Guyton Cochran Jr. Family Scholarship Fund"
"7543500","Weaver Scholarship Fund"
"7544500","Emily and Eric Olsen Scholarship Fund"
"75452000",NA
"75454000",NA
"75458000",NA
"7546700","Quenelle Harrold Sheffield Scholarship Fund"
"7547400","Howard E. Ivester Scholarship Fund III"
"7548000","Howard E. Ivester Scholarship Fund IV"
"7548100","Howard E. Ivester Scholarship Fund V"
"7548200","Howard E. Ivester Scholarship Fund VI"
"7548300","Howard E. Ivester Scholarship Fund VII"
"7548400","Lillie G. Hubbard Scholarship Fund"
"7548500","The Correll Scholars Program Scholarship Fund 1"
"7548500","The Correll Scholars Program Scholarship Fund 2"
"7548500","The Correll Scholars Program Scholarship Fund 3"
"7548500","The Correll Scholars Program Scholarship Fund 4"
"7548500","The Correll Scholars Program Scholarship Fund 5"
"7548500","The Correll Scholars Program Scholarship Fund 6"
"7548500","The Correll Scholars Program Scholarship Fund 7"
"7548500","The Correll Scholars Program Scholarship Fund 8"
"7548500","The Correll Scholars Program Scholarship Fund 9"
"7548500","The Correll Scholars Program Scholarship Fund 10"
"7548500","The Correll Scholars Program Scholarship Fund 11"
"7548500","The Correll Scholars Program Scholarship Fund 12"
"7548500","The Correll Scholars Program Scholarship Fund 13"
"7548500","The Correll Scholars Program Scholarship Fund 14"
"7548500","The Correll Scholars Program Scholarship Fund 15"
"7548500","The Correll Scholars Program Scholarship Fund 16"
"7548500","The Correll Scholars Program Scholarship Fund 17"
"7548500","The Correll Scholars Program Scholarship Fund 18"
"7548500","The Correll Scholars Program Scholarship Fund 19"
"7548500","The Correll Scholars Program Scholarship Fund 20"
"7548500","The Correll Scholars Program Scholarship Fund 21"
"7548500","The Correll Scholars Program Scholarship Fund 22"
"7548500","The Correll Scholars Program Scholarship Fund 23"
"7548500","The Correll Scholars Program Scholarship Fund 24"
"7548700","Charles and Leigh Hoke Family Scholarship Fund"
"7548900","Thilo and Elizabeth Best Scholarship Fund"
"7549000","Quaile Family Scholarship Fund"
"7549100","Lisa and Ron Hinson Scholarship Fund"
"7549200","Georgia Power Foundation Scholarship Fund II"
"7549300","Philip Moye Avery Scholarship Fund"
"7549400","Judy and Charles Kutal Scholarship Fund"
"7549500","Mr. James Lamar (Jimbo) LaBoon III Scholarship Fund"
"7549700","Paris Family Endowed Scholarship Fund"
"7549800","Herman Peskin, MD and Sheldon M. Wolff, MD Memorial Scholarship Fund"
"7549900","Peter and Wendy Corry Scholarship Fund II"
"7550800","Elizabeth Dean Womack Georgia Commitment Scholarship Fund I"
"7550900","Elizabeth Dean Womack Georgia Commitment Scholarship Fund II"
"7551000","Hal and Jenny Greer Scholarship Fund"
"7551100","1G??T (One Generation at a Time) Scholarship Fund I"
"7551200","1G??T (One Generation at a Time) Scholarship Fund II"
"7551300","1G??T (One Generation at a Time) Scholarship Fund III"
"7551400","1G??T (One Generation at a Time) Scholarship Fund IV"
"7551500","1G??T (One Generation at a Time) Scholarship Fund V"
"7551600","Howard and Stephanie Bissell Family Scholarship Fund"
"7551800","Doris and Michael Boudens Scholarship Fund I"
"7551900","Doris and Michael Boudens Scholarship Fund II"
"7552000","Doris and Michael Boudens Scholarship Fund III"
"7552100","Doris and Michael Boudens Scholarship Fund IV"
"7552300","Kingsfield Family Scholarship Fund I"
"7552500","GEICO Student Scholarship Fund"
"7552600","Schmidt Family Scholarship Fund"
"7552700","Kingsfield Family Scholarship Fund II"
"7552800","The Thalia and Michael C. Carlos Woodward Academy Scholarship Fund I"
"7552900","The Thalia and Michael C. Carlos Woodward Academy Scholarship Fund II"
"7553100","Nalley Scholarship Fund"
"7553200","Bruckman Family GA Commitment Scholarship Fund"
"7553300","Hoyt Family Scholarship Fund"
"7553400","Stewart and Marwen McDowell UGA Scholarship Fund"
"7553700","Paris-Brooks Scholarship Fund"
"7553800","Watson Scholarship Fund"
"7553900","Bartlett Family Scholarship Fund"
"7554000","Robert H. and Louise H. Turner Commit to Georgia Scholarship Fund"
"7554100","Renee and Hill A. Feinberg Education Scholarship Fund"
"7554200","W.K. Kellogg Foundation Scholarship Fund I"
"7554300","W.K. Kellogg Foundation Scholarship Fund II"
"7554400","W.K. Kellogg Foundation Scholarship Fund III"
"7554500","W.K. Kellogg Foundation Scholarship Fund IV"
"7554600","W.K. Kellogg Foundation Scholarship Fund V"
"7554700","Alice Cabaniss Langdale “Wiggie” Georgia Commitment Scholarship Fund"
"7555000","Murdock-Palmer Scholarship Fund"
"7555100","Moultrie-Colquitt County Alumni Scholarship Fund (1)"
"7555100","Moultrie-Colquitt County Alumni Scholarship Fund (3)"
"7555100","Moultrie-Colquitt County Alumni Scholarship Fund (4)"
"7555200","Jo Ann and David Hampson Scholarship Fund"
"7555300","Eisenberg Family Scholarship Fund"
"7555600","Betty Brown Sloop Scholarship Fund"
"7555700","Dr. Vincent S. Stadnick Scholarship Fund"
"7555800","Joiner Family Scholarship Fund"
"7555900","Warren Scholarship Fund I"
"7556000","Warren Scholarship Fund II"
"7556100","John and Frances Mangan Family Scholarship Fund"
"7556200","Kevin and Cheryl Windom Family Scholarship Fund"
"7556300","Sally and Brad Turner Scholarship Fund"
"7556400","O'Meara Scholarship Fund"
"7556800","Greg and Carrie Gretsch Family Scholarship Fund"
"7556900","Sam Stolz Memorial Scholarship Fund"
"7557000","Darby Family/Victory Real Estate Scholarship Fund III"
"7557100","Darby Family/Victory Real Estate Scholarship Fund IV"
"7557200","Sink Family Scholarship Fund"
"7557300","Anne M. and David E. Boyd Scholarship Fund"
"7557400","Dream Big Scholarship Endowment"
"7557600","Wright and Katherine Waddell Scholarship Fund"
"7557700","Barry and Suzanne Mansell Family Scholarship Fund"
"7557900","Howard E. Ivester Scholarship Fund VIII"
"7558000","SVW Scholarship Fund"
"7558200","Rosenberry-Donohue Scholarship Fund"
"7558300","Steve Jones Georgia Commitment Scholarship Fund"
"7558400","Wise Family Scholarship Fund"
"7558500","Rousseau Family Scholarship Fund (1)"
"7558500","Rousseau Family Scholarship Fund (2)"
"7558600","Richard A. Denny III Scholarship Fund"
"7558700","Parents Leadership Council Commit to Georgia Scholarship Fund II (1)"
"7558700","Parents Leadership Council Commit to Georgia Scholarship Fund II (2)"
"7558800","Kate Jeter and Emily Jeter Evans Scholarship Fund (2)"
"7558900","William Larry Webb Georgia Commitment Scholarship Fund"
"7559000","Paula Heard Gault Family Scholarship Fund"
"7559200","Pompa Family Scholarship Fund"
"7559400","Jella Family Scholarship"
"7559500","Clayton Robson Wilhite Georgia Commitment Scholarship Fund"
"7559600","Kimberly LaPorte Scholarship Fund"
"7559900","Carol and Mike Marshall Scholarship Fund"
"7560100","Georgia Commitment Continuation Scholarship Fund (1)"
"7560100","Georgia Commitment Continuation Scholarship Fund (2)"
"7560200","Baker Charitable Scholarship Fund"
"78143000",NA
"81376000",NA
"84400000",NA
"89600000",NA
"91407000",NA
"91438000",NA
"91473000",NA
"91490000",NA
"91764000",NA
"91932000",NA
"91966000",NA
"92007000",NA
"92013000",NA
"92018000",NA
"92026000",NA
"92041000",NA
"92046000",NA
"92050000",NA
"92053000",NA
"92056000",NA
"92059000",NA
"92065000",NA
"92067000",NA
"92798000",NA
"94001400",NA
"98140000",NA
